date,close
10/12/2012,67.97
10/15/2012,68.6
10/16/2012,69.55
10/17/2012,71
10/18/2012,72.52
10/19/2012,71.86
10/22/2012,71.78
10/23/2012,70.89
10/24/2012,70.74
10/25/2012,71.14
10/26/2012,70.9
10/31/2012,70.82
11/1/2012,71.5
11/2/2012,70.9
11/5/2012,70.79
11/6/2012,71.01
11/7/2012,70.34
11/8/2012,69.65
11/9/2012,69.87
11/12/2012,69.68
11/13/2012,69.51
11/14/2012,69.27
11/15/2012,69.07
11/16/2012,69.19
11/19/2012,69.25
11/20/2012,69.67
11/21/2012,69.59
11/23/2012,69.56
11/26/2012,69.09
11/27/2012,68.81
11/28/2012,69.29
11/29/2012,69.22
11/30/2012,69.73
12/3/2012,69.65
12/4/2012,69.86
12/5/2012,69.97
12/6/2012,70.05
12/7/2012,70.45
12/10/2012,70.6
12/11/2012,71.1
12/12/2012,70.96
12/13/2012,70.75
12/14/2012,70.69
12/17/2012,70.94
12/18/2012,70.95
12/19/2012,70.63
12/20/2012,70.75
12/21/2012,70.27
12/24/2012,70.02
12/26/2012,70.17
12/27/2012,70.09
12/28/2012,69.48
12/31/2012,70.1
1/2/2013,70.84
1/3/2013,70.74
1/4/2013,71.55
1/7/2013,71.4
1/8/2013,71.41
1/9/2013,71.73
1/10/2013,72.19
1/11/2013,72.35
1/14/2013,72.56
1/15/2013,72.37
1/16/2013,72.58
1/17/2013,72.9
1/18/2013,73.23
1/22/2013,72.69
1/23/2013,72.85
1/24/2013,73.1
1/25/2013,73.92
1/28/2013,73.62
1/29/2013,74.41
1/30/2013,74.09
1/31/2013,73.92
2/1/2013,74.18
2/4/2013,74.11
2/5/2013,74.66
2/6/2013,75.39
2/7/2013,75.06
2/8/2013,75.48
2/11/2013,75.41
2/12/2013,75.8
2/13/2013,75.66
2/14/2013,75.81
2/15/2013,76.16
2/19/2013,76.96
2/20/2013,76.65
2/21/2013,76.87
2/22/2013,76.25
2/25/2013,75.57
2/26/2013,75.75
2/27/2013,76.32
2/28/2013,76.11
3/1/2013,76.7
3/4/2013,77.2
3/5/2013,77.66
3/6/2013,77.39
3/7/2013,77.75
3/8/2013,78.19
3/11/2013,78.44
3/12/2013,78.56
3/13/2013,78.55
3/14/2013,79.1
3/15/2013,79.19
3/18/2013,78.81
3/19/2013,78.86
3/20/2013,79.45
3/21/2013,79.01
3/22/2013,79.74
3/25/2013,79.68
3/26/2013,80.85
3/27/2013,81.27
3/28/2013,81.53
4/1/2013,81.93
4/2/2013,82.69
4/3/2013,82.07
4/4/2013,82.41
4/5/2013,82.04
4/8/2013,81.11
4/9/2013,81.52
4/10/2013,82.02
4/11/2013,82.32
4/12/2013,82.74
4/15/2013,81.71
4/16/2013,83.44
4/17/2013,83.9
4/18/2013,83.18
4/19/2013,84.49
4/22/2013,84.83
4/23/2013,85.45
4/24/2013,84.39
4/25/2013,85.22
4/26/2013,85.12
4/29/2013,85.58
4/30/2013,85.23
5/1/2013,84.23
5/2/2013,85.16
5/3/2013,85.75
5/6/2013,84.68
5/7/2013,85.53
5/8/2013,85.46
5/9/2013,85.15
5/10/2013,85.76
5/13/2013,85.85
5/14/2013,86.97
5/15/2013,87.64
5/16/2013,87.45
5/17/2013,88.09
5/20/2013,88.01
5/21/2013,88.59
5/22/2013,88.46
5/23/2013,87.21
5/24/2013,86.82
5/28/2013,87.61
5/29/2013,85.65
5/30/2013,85.99
5/31/2013,84.18
6/3/2013,84.71
6/4/2013,84.1
6/5/2013,83.68
6/6/2013,84.46
6/7/2013,84.91
6/10/2013,85.14
6/11/2013,84.69
6/12/2013,83.74
6/13/2013,84.91
6/14/2013,84.91
6/17/2013,85.63
6/18/2013,86.36
6/19/2013,84.86
6/20/2013,82.62
6/21/2013,83.2
6/24/2013,84.61
6/25/2013,85.35
6/26/2013,86.99
6/27/2013,86.71
6/28/2013,85.86
7/1/2013,86.63
7/2/2013,86.57
7/3/2013,86.78
7/5/2013,87.87
7/8/2013,88.59
7/9/2013,88.88
7/10/2013,89.24
7/11/2013,89.67
7/12/2013,89.99
7/15/2013,90.4
7/16/2013,90.4
7/17/2013,90.13
7/18/2013,90.17
7/19/2013,92.23
7/22/2013,92.28
7/23/2013,92.42
7/24/2013,92.36
7/25/2013,92.57
7/26/2013,92.83
7/29/2013,93.21
7/30/2013,93.17
7/31/2013,93.5
8/1/2013,93.77
8/2/2013,94.39
8/5/2013,93.8
8/6/2013,93.81
8/7/2013,93.66
8/8/2013,93.34
8/9/2013,92.36
8/12/2013,92
8/13/2013,93.01
8/14/2013,90.7
8/15/2013,89.55
8/16/2013,89.37
8/19/2013,90.45
8/20/2013,89.73
8/21/2013,88.8
8/22/2013,88.26
8/23/2013,88.41
8/26/2013,87.53
8/27/2013,86.17
8/28/2013,86.53
8/29/2013,86.57
8/30/2013,86.41
9/3/2013,86.42
9/4/2013,86.9
9/5/2013,87.04
9/6/2013,87.16
9/9/2013,87.56
9/10/2013,88.53
9/11/2013,89.23
9/12/2013,89.01
9/13/2013,88.57
9/16/2013,89.03
9/17/2013,89.06
9/18/2013,89.91
9/19/2013,90.07
9/20/2013,89.68
9/23/2013,89.09
9/24/2013,88.22
9/25/2013,87.08
9/26/2013,87.07
9/27/2013,86.73
9/30/2013,86.69
10/1/2013,87.47
10/2/2013,87.29
10/3/2013,86.58
10/4/2013,87.31
10/7/2013,86.59
10/8/2013,85.61
10/9/2013,85.96
10/10/2013,87.78
10/11/2013,89.45
10/14/2013,89.8
10/15/2013,89.93
10/16/2013,91.11
10/17/2013,91.97
10/18/2013,91.63
10/21/2013,91.2
10/22/2013,92.36
10/23/2013,92.1
10/24/2013,92.35
10/25/2013,92.09
10/28/2013,92.39
10/29/2013,93.14
10/30/2013,92.79
10/31/2013,92.61
11/1/2013,93.37
11/4/2013,93.03
11/5/2013,92.81
11/6/2013,93.04
11/7/2013,92.69
11/8/2013,94.05
11/11/2013,94.29
11/12/2013,93.56
11/13/2013,93.34
11/14/2013,93.92
11/15/2013,94.39
11/18/2013,94.3
11/19/2013,94.86
11/20/2013,95.15
11/21/2013,95.2
11/22/2013,95.25
11/25/2013,95.63
11/26/2013,95.06
11/27/2013,94.98
11/29/2013,94.66
12/2/2013,94.28
12/3/2013,93.97
12/4/2013,93.63
12/5/2013,92.97
12/6/2013,94.44
12/9/2013,94.44
12/10/2013,94.14
12/11/2013,93.11
12/12/2013,91.16
12/13/2013,91.35
12/16/2013,91.37
12/17/2013,90.66
12/18/2013,92.64
12/19/2013,91.98
12/20/2013,92.09
12/23/2013,92.03
12/24/2013,92.06
12/26/2013,92.54
12/27/2013,92.35
12/30/2013,92.3
12/31/2013,91.59
1/2/2014,91.03
1/3/2014,91.85
1/6/2014,92.33
1/7/2014,94.29
1/8/2014,94.16
1/9/2014,94.73
1/10/2014,94.74
1/13/2014,94.5
1/14/2014,94.72
1/15/2014,94.8
1/16/2014,94.64
1/17/2014,95.06
1/21/2014,94.03
1/22/2014,94.32
1/23/2014,92.74
1/24/2014,90.61
1/27/2014,89.94
1/28/2014,90.1
1/29/2014,88.9
1/30/2014,89.5
1/31/2014,88.47
2/3/2014,86.78
2/4/2014,86.62
2/5/2014,87.28
2/6/2014,88.75
2/7/2014,90.04
2/10/2014,91.07
2/11/2014,92.97
2/12/2014,92.42
2/13/2014,92.56
2/14/2014,92.76
2/18/2014,92.17
2/19/2014,91.64
2/20/2014,92.38
2/21/2014,91.52
2/24/2014,91.11
2/25/2014,91.11
2/26/2014,91.11
2/27/2014,91.36
2/28/2014,92.12
3/3/2014,91.56
3/4/2014,93.34
3/5/2014,92.59
3/6/2014,92.89
3/7/2014,93.32
3/10/2014,93.45
3/11/2014,93.49
3/12/2014,93.6
3/13/2014,93
3/14/2014,92.81
3/17/2014,93.93
3/18/2014,93.94
3/19/2014,93.59
3/20/2014,94.12
3/21/2014,95.93
3/24/2014,95.2
3/25/2014,97.38
3/26/2014,97.05
3/27/2014,97.28
3/28/2014,97.44
3/31/2014,98.23
4/1/2014,97.94
4/2/2014,98.23
4/3/2014,98.26
4/4/2014,98.42
4/7/2014,97.89
4/8/2014,98.06
4/9/2014,98.95
4/10/2014,96.54
4/11/2014,96.87
4/14/2014,97.14
4/15/2014,99.2
4/16/2014,98.75
4/17/2014,98.96
4/21/2014,100
4/22/2014,100.18
4/23/2014,100.22
4/24/2014,99.96
4/25/2014,99.79
4/28/2014,101.34
4/29/2014,101.03
4/30/2014,101.29
5/1/2014,100.53
5/2/2014,99.31
5/5/2014,100
5/6/2014,99.51
5/7/2014,100.91
5/8/2014,100.5
5/9/2014,100.91
5/12/2014,100.52
5/13/2014,101.02
5/14/2014,100.87
5/15/2014,100.69
5/16/2014,100.58
5/19/2014,100.64
5/20/2014,100.25
5/21/2014,101.14
5/22/2014,100.96
5/23/2014,100.98
5/27/2014,100.81
5/28/2014,100.3
5/29/2014,100.76
5/30/2014,101.46
6/2/2014,102.17
6/3/2014,102.46
6/4/2014,102.68
6/5/2014,103.22
6/6/2014,103.18
6/9/2014,103.22
6/10/2014,104.1
6/11/2014,103.32
6/12/2014,102.53
