DATE,PAYEMS
2004-01-01,130787
2004-02-01,130844
2004-03-01,131156
2004-04-01,131426
2004-05-01,131710
2004-06-01,131807
2004-07-01,131864
2004-08-01,131955
2004-09-01,132112
2004-10-01,132466
2004-11-01,132521
2004-12-01,132644
2005-01-01,132791
2005-02-01,133050
2005-03-01,133172
2005-04-01,133536
2005-05-01,133706
2005-06-01,133957
2005-07-01,134314
2005-08-01,134517
2005-09-01,134583
2005-10-01,134673
2005-11-01,135012
2005-12-01,135168
2006-01-01,135446
2006-02-01,135753
2006-03-01,136063
2006-04-01,136221
2006-05-01,136261
2006-06-01,136342
2006-07-01,136538
2006-08-01,136713
2006-09-01,136860
2006-10-01,136870
2006-11-01,137082
2006-12-01,137268
2007-01-01,137493
2007-02-01,137573
2007-03-01,137810
2007-04-01,137860
2007-05-01,138012
2007-06-01,138088
2007-07-01,138055
2007-08-01,138032
2007-09-01,138114
2007-10-01,138190
2007-11-01,138299
2007-12-01,138409
2008-01-01,138422
2008-02-01,138340
2008-03-01,138292
2008-04-01,138056
2008-05-01,137872
2008-06-01,137706
2008-07-01,137508
2008-08-01,137229
2008-09-01,136769
2008-10-01,136288
2008-11-01,135561
2008-12-01,134857
2009-01-01,134074
2009-02-01,133332
2009-03-01,132529
2009-04-01,131835
2009-05-01,131491
2009-06-01,131026
2009-07-01,130685
2009-08-01,130501
2009-09-01,130259
2009-10-01,130061
2009-11-01,130073
2009-12-01,129804
2010-01-01,129807
